"","genus","size_bin","n_initial","n_final","mort_rate","n_dead","t","ci.lo","ci.hi"
"1","<35 dbh","1",574,495,2.09881124866536,79,6.9807262805547,1.66343407256078,2.60958749133844
"2",">=35 dbh","2",361,334,1.10741672553198,27,6.9807262805547,0.730064658983987,1.60737857114563
"3","acer","1",25,23,1.18734934817933,2,6.9807262805547,0.141551439160503,4.2273464618271
"4","acer","2",8,8,0,0,6.9807262805547,0,0
"5","carya","1",198,177,1.59326892041752,21,6.9807262805547,0.9864395084207,2.4259822213709
"6","carya","2",58,55,0.757919778636795,3,6.9807262805547,0.155381358422069,2.19952621854382
"7","cored","total",935,829,1.70892358199823,106,6.9807262805547,1.40035982429468,2.06345898651308
"8","fagus","1",86,86,0,0,6.9807262805547,0,0
"9","fraxinus","1",17,9,8.70794193283755,8,6.9807262805547,3.67186878008274,16.7498522769435
"10","fraxinus","2",15,13,2.02907358150294,2,6.9807262805547,0.239156145619124,7.15880333494416
"11","juglans","1",9,8,1.67310595874218,1,6.9807262805547,0.0402898341853364,9.00497932304626
"12","juglans","2",26,25,0.560267488595945,1,6.9807262805547,0.0139483184576572,3.08317672623226
"13","liriodendron","1",45,39,2.02907358150294,6,6.9807262805547,0.740212213408797,4.36929057983316
"14","liriodendron","2",45,45,0,0,6.9807262805547,0,0
"15","nyssa","1",49,45,1.21248837196642,4,6.9807262805547,0.328255083042073,3.07703691947155
"16","nyssa","2",7,5,4.70569885126781,2,6.9807262805547,0.534081335888614,16.2320492818673
"17","quercus","1",84,68,2.98168000990616,16,6.9807262805547,1.70268171862862,4.80338761382303
"18","quercus","2",193,174,1.47362041928705,19,6.9807262805547,0.887253543825572,2.29237383741521
"19","tillia","1",27,27,0,0,6.9807262805547,0,0
"20","tillia","2",9,9,0,0,6.9807262805547,0,0
"21","ulmus","1",34,13,12.866055487178,21,6.9807262805547,7.86809080186831,19.4120317462055
